year,month,period,metric,median,n_readings,iqr,min_val,max_val,flags_consensus,needs_review
2021,9,evening,avion,32.8,13,5.0,32.8,37.8,,std_2.4
2021,9,evening,total,52.7,11,0.0,52.7,52.7,,
2021,9,night,avion,28.0,13,6.0,22.0,28.0,,high_spread_6.0
2021,9,night,total,51.9,6,0.0,51.9,51.9,,
2021,10,day,avion,41.3,13,1.0,40.3,41.3,,
2021,10,day,total,54.5,9,0.0,54.5,54.5,,
2021,10,evening,avion,31.5,10,0.0,31.5,31.5,,
2021,10,evening,total,52.5,12,0.0,52.5,52.5,,
2021,10,night,avion,0.0,5,0.0,0.0,0.0,,
2021,10,night,total,49.9,12,0.0,49.9,49.9,,
2021,11,day,avion,39.7,8,0.0,39.7,39.7,¹,
2021,11,day,total,55.3,12,0.0,55.3,55.3,,
2021,11,evening,avion,37.2,13,10.0,37.2,47.2,,high_spread_10.0|std_2.8
2021,11,evening,total,53.1,12,0.0,53.1,53.1,,
2021,11,night,avion,,13,,,,,no_valid_readings
2021,11,night,total,50.4,11,0.0,50.4,50.4,,
2021,12,day,avion,40.3,13,0.0,40.3,40.3,¹,
2021,12,day,total,55.0,12,0.0,55.0,55.0,,
2021,12,evening,avion,35.8,13,0.0,35.8,35.8,,
2021,12,evening,total,53.1,12,0.0,53.1,53.1,,
2021,12,night,avion,16.0,13,0.0,16.0,16.0,,
2021,12,night,total,50.4,12,0.0,50.4,50.4,,
2022,1,day,avion,41.2,9,32.89999999999999,41.2,74.1,¹,high_spread_32.9|std_11.0
2022,1,day,total,55.2,12,0.0,55.2,55.2,,
2022,1,evening,avion,35.6,11,37.9,35.6,73.5,,high_spread_37.9|std_11.4
2022,1,evening,total,53.6,12,0.0,53.6,53.6,,
2022,1,night,avion,,13,,,,,no_valid_readings
2022,1,night,total,50.9,11,0.0,50.9,50.9,,
2022,2,day,avion,39.7,13,0.0,39.7,39.7,¹,
2022,2,day,total,57.6,12,0.0,57.6,57.6,,
2022,2,evening,avion,36.5,12,0.0,36.5,36.5,,
2022,2,evening,total,53.2,12,0.0,53.2,53.2,,
2022,2,night,avion,0.0,2,0.0,0.0,0.0,,only_2_readings
2022,2,night,total,50.6,10,0.0,50.6,50.6,,
2022,3,day,avion,39.8,13,34.10000000000001,39.8,73.9,¹,high_spread_34.1|std_9.5
2022,3,day,total,57.0,12,0.0,57.0,57.0,,
2022,3,evening,avion,37.1,13,0.0,37.1,37.1,,
2022,3,evening,total,53.5,12,0.0,53.5,53.5,,
2022,3,night,avion,19.0,13,0.0,19.0,19.0,,
2022,3,night,total,50.9,10,0.0,50.9,50.9,,
2022,4,day,avion,37.6,12,0.0,37.6,37.6,¹,
2022,4,day,total,56.8,12,0.0,56.8,56.8,,
2022,4,evening,avion,32.7,13,0.0,32.7,32.7,,
2022,4,evening,total,52.9,9,0.0,52.9,52.9,,
2022,4,night,avion,21.6,13,49.99999999999999,21.6,71.6,,high_spread_50.0|std_25.3
2022,4,night,total,49.9,12,0.0,49.9,49.9,,
2022,5,day,avion,41.4,12,0.0,41.4,41.4,¹,
2022,5,day,total,55.1,12,0.0,55.1,55.1,,
2022,5,evening,avion,33.9,13,0.0,33.9,33.9,,
2022,5,evening,total,52.4,9,0.0,52.4,52.4,,
2022,5,night,avion,0.0,1,0.0,0.0,0.0,,only_1_readings
2022,5,night,total,50.6,9,0.0,50.6,50.6,,
2022,6,day,avion,40.0,12,0.0,40.0,40.0,¹,
2022,6,day,total,55.2,12,0.0,55.2,55.2,,
2022,6,evening,avion,28.4,12,0.0,28.4,28.4,,
2022,6,evening,total,52.1,11,0.0,52.1,52.1,,
2022,6,night,avion,11.6,13,0.0,11.6,11.6,,
2022,6,night,total,51.8,5,0.0,51.8,51.8,,
2022,7,day,avion,39.5,11,0.0,39.5,39.5,¹,
2022,7,day,total,53.2,11,0.0,53.2,53.2,,
2022,7,evening,avion,25.6,11,0.0,25.6,25.6,,
2022,7,evening,total,50.8,8,0.0,50.8,50.8,,
2022,7,night,avion,0.0,1,0.0,0.0,0.0,,only_1_readings
2022,7,night,total,48.9,10,5.0,43.9,48.9,,
2022,8,day,avion,37.9,10,0.0,37.9,37.9,¹,
2022,8,day,total,55.0,10,0.0,55.0,55.0,,
2022,8,evening,avion,25.7,10,0.0,25.7,25.7,,
2022,8,evening,total,48.3,10,0.0,48.3,48.3,,
2022,8,night,avion,18.7,10,0.0,18.7,18.7,,
2022,8,night,total,46.7,10,1.0,45.7,46.7,,
2022,9,day,avion,40.8,5,0.0,40.8,40.8,¹,
2022,9,day,total,54.2,6,0.0,54.2,54.2,,
2022,9,evening,avion,32.7,10,0.0,32.7,32.7,,
2022,9,evening,total,50.8,6,0.0,50.8,50.8,,
2022,9,night,avion,20.4,9,0.0,20.4,20.4,,
2022,9,night,total,49.8,8,0.0,49.8,49.8,,
2022,10,day,avion,39.3,8,0.0,39.3,39.3,¹,
2022,10,day,total,54.1,5,0.0,54.1,54.1,,
2022,10,evening,avion,34.0,7,0.0,34.0,34.0,,
2022,10,evening,total,51.6,1,0.0,51.6,51.6,,only_1_readings
2022,10,night,avion,15.0,9,0.0,15.0,15.0,,
2022,10,night,total,48.7,5,0.0,48.7,48.7,,
2022,11,day,avion,40.2,7,0.0,40.2,40.2,¹,
2022,11,day,total,54.6,2,0.0,54.6,54.6,,only_2_readings
2022,11,evening,avion,32.1,8,0.0,32.1,32.1,,
2022,11,evening,total,51.5,2,0.0,51.5,51.5,,only_2_readings
2022,11,night,avion,,13,,,,,no_valid_readings
2022,11,night,total,49.3,7,0.0,49.3,49.3,,
2022,12,day,avion,39.8,7,0.0,39.8,39.8,¹,
2022,12,day,total,54.4,1,0.0,54.4,54.4,,only_1_readings
2022,12,evening,avion,33.8,7,0.19999999999999574,33.6,33.8,,
2022,12,evening,total,50.7,2,0.0,50.7,50.7,,only_2_readings
2022,12,night,avion,14.3,6,0.0,14.3,14.3,,
2022,12,night,total,47.7,6,0.0,47.7,47.7,,
2023,1,day,avion,40.6,3,0.0,40.6,40.6,,
2023,1,day,total,55.5,5,0.0,55.5,55.5,,
2023,1,evening,avion,35.6,6,0.0,35.6,35.6,,
